"API ID","Endpoint","ID부여 규칙 설명"
"API-AUTH-001","/login (POST /auth/*)","직원 및 관리자 인증을 위한 API"
"API-MSG-001","/guest/chat (POST /chat/{roomNo}/messages)","투숙객 메시지 전송 및 AI 답변 비동기 응답 처리 API"
"API-REQ-002","/guest/status (GET /chat/{roomNo}/requests)","투숙객 본인이 요청한 태스크 상태 조회 API"
"API-STF-001","/staff (GET /staff/requests)","현장 직원의 본인 부서 배정 태스크 목록 조회 API"
"API-ADM-001","/admin/dashboard (GET)","관리자 대시보드 통계 조회 API"
"API-ADM-002","/admin/all-requests (GET)","전체 부서의 모든 요청 사항(칸반보드) 통합 조회 API"
"API-ADM-003","/admin/{dept} (GET)","하우스키핑, 시설관리, F&B, 컨시어지, 프론트 등 특정 부서별 태스크 목록 조회 API"
"API-ADM-004","/admin/chat-history (GET)","투숙객과 AI 간의 채팅 메시지 전체 이력(Raw Data) 조회 API"
"API-ADM-005","/admin/staff-management (POST/GET)","호텔 직원 계정 생성 및 권한/부서 발령 관리 API"
"API-EMG-001","/admin/emergency (GET)","화재/의료 등 긴급(URGENT) 상황 발생에 특화된 태스크 조회 API"
"API-HND-001","/admin/handover (GET)","프론트데스크 교대 근무 시 AI가 요약한 인수인계 브리핑 조회 API"
"API-AI-001","/admin/ai-routing (GET)","AI의 의도 파악/부서 분류(라우팅) 이력 및 확신도 조회 API"
"API-AI-002","/admin/ai-training (POST)","AI 분류 오류를 사람이 수동으로 정정하고 Few-Shot 재학습에 활용하는 API"
"API-RAG-001","/admin/rag (POST/GET)","AI 엔진이 답변에 참조할 도메인별 FAQ(지식베이스) 등록 및 승인 관리 API"
"API-PMS-001","/pms (GET)","테스트 및 시연을 위한 가상 PMS(객실 관리 시스템) 더미 데이터 조회 API"
"API-WS-001","/test/ws (WS SUBSCRIBE)","웹소켓(STOMP)을 통한 실시간 푸시 알림 및 양방향 이벤트 수신 통신 API"
