"URL 경로","타겟 사용자","화면 설명"
"/login","공통","관리자 및 직원이 사번/PIN 번호로 접속하는 로그인 화면"
"/guest/chat","투숙객","객실 내 QR 코드로 접속하는 메인 채팅 화면 (AI 컨시어지와 대화 및 요청 생성)"
"/guest/status","투숙객","자신이 요청한 서비스의 현재 처리 상태(대기중, 처리중, 완료)를 확인하는 화면"
"/chat","투숙객","/guest/chat과 동일한 구버전 진입점 (마이그레이션 과도기용)"
"/staff","현장 직원","본인 소속 부서에 배정된 태스크를 확인하고 수락/완료 상태를 업데이트하는 모바일 웹 앱"
"/admin","관리자","관리자 페이지 메인 렌딩 (기본적으로 대시보드로 리다이렉트)"
"/admin/dashboard","관리자","호텔 내 전체 부서의 요청 처리 현황 통계를 보여주는 메인 요약 대시보드"
"/admin/all-requests","관리자","전체 부서의 모든 요청을 실시간으로 파악하고 제어할 수 있는 통합 칸반 보드"
"/admin/emergency","관리자","화재, 의료 상황 등 URGENT 긴급 상황 발생 시 최우선으로 대응하기 위한 알림/관리 보드"
"/admin/handover","관리자","프론트 교대 근무자를 위한 이전 근무 시간대 요약 브리핑(AI 자동 생성) 조회 화면"
"/admin/housekeeping","관리자","하우스키핑 부서(객실 정비, 비품 추가 등) 전용 태스크 모니터링 보드"
"/admin/facility","관리자","시설관리 부서(수리, 냉난방 점검 등) 전용 태스크 모니터링 보드"
"/admin/concierge","관리자","컨시어지 부서(짐 보관, 택시 호출, 예약 등) 전용 태스크 모니터링 보드"
"/admin/fb","관리자","F&B 부서(룸서비스, 조식 등 식음료) 전용 태스크 모니터링 보드"
"/admin/front-desk","관리자","다른 부서에 할당되지 않는 프론트 데스크 직결 민원/요청 관리 보드"
"/admin/chat-history","관리자","분쟁 해결이나 문맥 파악을 위해 투숙객과 AI 간의 전체 대화 로그(Raw Data)를 열람하는 화면"
"/admin/ai-routing","관리자","AI가 접수한 요청을 어떤 의도(Intent)와 부서로 분류했는지 확신도(Confidence)와 함께 모니터링"
"/admin/ai-training","관리자","AI가 잘못 분류한 데이터를 사람이 올바른 부서로 정정해주고, 이를 바탕으로 Few-Shot 재학습을 수행하는 화면"
"/admin/rag","관리자","부서별로 AI가 답변에 참고할 지식베이스(FAQ)를 등록, 수정, 승인하는 RAG 데이터 관리 화면"
"/admin/staff-management","관리자","호텔에서 근무하는 직원들의 계정을 생성하고 권한(부서)을 발령/관리하는 화면"
"/pms","기타","시연 및 테스트 환경을 위한 가상 PMS 시스템 (가상 객실 할당 및 체크인/아웃 관리)"
"/test","테스트","프론트엔드 UI 컴포넌트 동작 확인용 개발자 테스트 페이지"
"/test/ws","테스트","실시간 상태 변경 푸시 알림을 검증하기 위한 웹소켓(STOMP) 연동 테스트 페이지"
